# fdc_id,nutrient,amount,unit
1003,"Protein",50,g
1004,"Total lipid (fat)",78,g
1005,"Carbohydrate, by difference",275,g
1008,"Energy",2000,kcal
1051,"Water",3000,g
1062,"Energy",8368,kJ
1079,"Fiber, total dietary",28,g
1087,"Calcium, Ca",1300,mg
1089,"Iron, Fe",18,mg
1090,"Magnesium, Mg",420,mg
1091,"Phosphorus, P",1250,mg
1092,"Potassium, K",4700,mg
1093,"Sodium, Na",2300,mg
1095,"Zinc, Zn",11,mg
1096,"Chromium, Cr",35,ug
1098,"Copper, Cu",0.9,mg
1100,"Iodine, I",150,ug
1101,"Manganese, Mn",2.3,mg
1102,"Molybdenum, Mo",45,ug
1103,"Selenium, Se",55,ug
1106,"Vitamin A, RAE",900,ug RAE
1109,"Vitamin E (alpha-tocopherol)",15,mg
1114,"Vitamin D (D2 + D3)",20,ug
1162,"Vitamin C, total ascorbic acid",90,mg
1165,"Thiamin",1.2,mg
1166,"Riboflavin",1.3,mg
1167,"Niacin",16,mg NE
1170,"Pantothenic acid",5,mg
1175,"Vitamin B-6",1.7,mg
1176,"Biotin",30,ug
1178,"Vitamin B-12",2.4,ug
1180,"Choline, total",550,mg
1185,"Vitamin K (phylloquinone)",120,ug
1190,"Folate, DFE",400,ug DFE
1253,"Cholesterol",300,mg
1258,"Fatty acids, total saturated",20,g
1292,"Fatty acids, total monounsaturated",53,g
1293,"Fatty acids, total polyunsaturated",15,g
2000,"Sugars, total including NLEA",50,g
2050,"Chloride",2300,mg
