# id,name,display_name,nutrient_category_name,precision,seq_num
1008,"Energy","Energy","Macronutrient",0,1
1051,"Water","Water","Macronutrient",0,2
1003,"Protein","Protein","Macronutrient",1,3
1005,"Carbohydrate, by difference","Carbohydrates","Macronutrient",1,4
1079,"Fiber, total dietary","Dietary fiber","Macronutrient",1,5
1004,"Total lipid (fat)","Total fat","Macronutrient",1,6
1258,"Fatty acids, total saturated","Saturated fat","Macronutrient",1,7
1292,"Fatty acids, total monounsaturated","Monounsaturated fat","Macronutrient",1,8
1293,"Fatty acids, total polyunsaturated","Polyunsaturated fat","Macronutrient",1,9
1253,"Cholesterol","Cholesterol","Macronutrient",0,10
2000,"Sugars, total including NLEA","Sugars","Macronutrient",1,11
1087,"Calcium, Ca","Calcium","Mineral",0,12
1098,"Copper, Cu","Copper","Mineral",2,13
1089,"Iron, Fe","Iron","Mineral",2,14
1090,"Magnesium, Mg","Magnesium","Mineral",0,15
1101,"Manganese, Mn","Manganese","Mineral",2,16
1091,"Phosphorus, P","Phosphorus","Mineral",0,17
1092,"Potassium, K","Potassium","Mineral",0,18
1103,"Selenium, Se","Selenium","Mineral",1,19
1093,"Sodium, Na","Sodium","Mineral",0,20
1095,"Zinc, Zn","Zinc","Mineral",2,21
1106,"Vitamin A, RAE","Vitamin A","Vitamin",0,22
1165,"Thiamin","Vitamin B1","Vitamin",2,23
1166,"Riboflavin","Vitamin B2","Vitamin",2,24
1167,"Niacin","Vitamin B3","Vitamin",2,25
1170,"Pantothenic acid","Vitamin B5","Vitamin",2,26
1175,"Vitamin B-6","Vitamin B6","Vitamin",2,27
1178,"Vitamin B-12","Vitamin B12","Vitamin",2,28
1162,"Vitamin C, total ascorbic acid","Vitamin C","Vitamin",1,29
1114,"Vitamin D (D2 + D3)","Vitamin D","Vitamin",2,30
1109,"Vitamin E (alpha-tocopherol)","Vitamin E","Vitamin",2,31
1185,"Vitamin K (phylloquinone)","Vitamin K","Vitamin",2,32
1190,"Folate, DFE","Folate","Vitamin",0,33
1180,"Choline, total","Choline","Vitamin",0,34
