is_whitelisted | fdc_id | ingredient_category | ingredient
  | 168061 | American Indian/Alaska Native Foods | Acorn stew (Apache)
  | 168992 | American Indian/Alaska Native Foods | Agave, cooked (Southwest)
  | 168993 | American Indian/Alaska Native Foods | Agave, dried (Southwest)
  | 169814 | American Indian/Alaska Native Foods | Agave, raw (Southwest)
  | 169823 | American Indian/Alaska Native Foods | Agutuk, fish with shortening (Alaskan ice cream) (Alaska Native)
  | 168976 | American Indian/Alaska Native Foods | Agutuk, fish/berry with seal oil (Alaskan ice cream) (Alaska Native)
  | 168977 | American Indian/Alaska Native Foods | Agutuk, meat-caribou (Alaskan ice cream) (Alaska Native)
  | 168978 | American Indian/Alaska Native Foods | Ascidians (tunughnak) (Alaska Native)
  | 169793 | American Indian/Alaska Native Foods | Bear, black, meat (Alaska Native)
  | 169794 | American Indian/Alaska Native Foods | Bear, polar, meat, raw (Alaska Native)
  | 168982 | American Indian/Alaska Native Foods | Blackberries, wild, raw (Alaska Native)
  | 169799 | American Indian/Alaska Native Foods | Blueberries, wild, frozen (Alaska Native)
  | 167640 | American Indian/Alaska Native Foods | Blueberries, wild, raw (Alaska Native)
  | 169830 | American Indian/Alaska Native Foods | Bread, blue corn, somiviki (Hopi)
  | 167633 | American Indian/Alaska Native Foods | Bread, kneel down (Navajo)
  | 167651 | American Indian/Alaska Native Foods | Buffalo, free range, top round steak, cooked (Shoshone Bannock)
  | 167649 | American Indian/Alaska Native Foods | Buffalo, free range, top round steak, raw (Shoshone Bannock)
  | 169800 | American Indian/Alaska Native Foods | Caribou, bone marrow, raw (Alaska Native)
  | 169801 | American Indian/Alaska Native Foods | Caribou, eye, raw (Alaska Native)
  | 168050 | American Indian/Alaska Native Foods | Caribou, hind quarter meat, raw (Alaska Native)
  | 169822 | American Indian/Alaska Native Foods | Caribou, hind quarter, meat, cooked (Alaska Native)
  | 168983 | American Indian/Alaska Native Foods | Caribou, liver, raw (Alaska Native)
  | 167644 | American Indian/Alaska Native Foods | Caribou, rump meat, half dried (Alaska Native)
  | 168049 | American Indian/Alaska Native Foods | Caribou, shoulder meat, dried (Alaska Native)
  | 168985 | American Indian/Alaska Native Foods | Caribou, tongue, raw (Alaska Native)
  | 168994 | American Indian/Alaska Native Foods | Cattail, Narrow Leaf Shoots (Northern Plains Indians)
  | 167630 | American Indian/Alaska Native Foods | Chilchen (Red Berry Beverage) (Navajo)
  | 168986 | American Indian/Alaska Native Foods | Chiton, leathery, gumboots (Alaska Native)
  | 168999 | American Indian/Alaska Native Foods | Chokecherries, raw, pitted (Northern Plains Indians)
  | 168058 | American Indian/Alaska Native Foods | Chokecherries, raw, pitted (Shoshone Bannock)
  | 169802 | American Indian/Alaska Native Foods | Cloudberries, raw (Alaska Native)
  | 169803 | American Indian/Alaska Native Foods | Cockles, raw (Alaska Native)
  | 167631 | American Indian/Alaska Native Foods | Corn, dried (Navajo)
  | 167653 | American Indian/Alaska Native Foods | Corn, dried, yellow (Northern Plains Indians)
  | 168037 | American Indian/Alaska Native Foods | Corn, white, steamed (Navajo)
  | 167656 | American Indian/Alaska Native Foods | Corned beef and potatoes in tortilla (Apache)
  | 167628 | American Indian/Alaska Native Foods | Cornmeal, blue (Navajo)
  | 168038 | American Indian/Alaska Native Foods | Cornmeal, white (Navajo)
  | 168039 | American Indian/Alaska Native Foods | Cornmeal, yellow (Navajo)
  | 169804 | American Indian/Alaska Native Foods | Cranberries, wild, bush, raw (Alaska Native)
  | 169805 | American Indian/Alaska Native Foods | Cranberry, low bush or lingenberry, raw (Alaska Native)
  | 167622 | American Indian/Alaska Native Foods | Deer (venison), sitka, raw (Alaska Native)
  | 167617 | American Indian/Alaska Native Foods | Duck, scoter, white-winged, meat (Alaska Native)
