food_portion_id,fdc_id,ingredient_name
89573,171923,"Beverages, Powerade Zero Ion4, calorie-free, assorted flavors"
89574,171924,"Beverages, WENDY'S, tea, ready-to-drink, unsweetened"
89589,171936,"Beverages, Energy drink, AMP, sugar free"
89593,171938,"Beverages, Energy drink, ROCKSTAR, sugar free"
89597,171941,"Beverages, Horchata, as served in restaurant"
89598,171942,"Beverages, rice milk, unsweetened"
89602,171944,"Beverages, Fruit flavored drink, reduced sugar, greater than 3% fruit juice, high vitamin C, added calcium"
89603,171945,"Beverages, fruit juice drink, greater than 3% fruit juice, high vitamin C and added thiamin"
89604,171946,"Beverages, tea, hibiscus, brewed"
89605,171947,"Beverages, fruit juice drink, greater than 3% juice, high vitamin C"
94936,174809,"Beverages, THE COCA-COLA COMPANY, NOS Zero, energy drink, sugar-free with guarana, fortified with vitamins B6 and B12"
94939,174811,"Beverages, Whiskey sour mix, bottled"
94944,174814,"Beverages, CYTOSPORT, Muscle Milk, ready-to-drink"
94948,174817,"Alcoholic beverage, distilled, rum, 80 proof"
94950,174818,"Alcoholic beverage, distilled, vodka, 80 proof"
94954,174820,"Beverages, almond milk, chocolate, ready-to-drink"
94955,174820,"Beverages, almond milk, chocolate, ready-to-drink"
94956,174821,"Beverages, Energy Drink with carbonated water and high fructose corn syrup"
95639,175105,"Beverages, orange breakfast drink, ready-to-drink, with added nutrients"
94957,174822,"Beverages, Energy Drink, sugar free"
81838,167727,"Beverages, ABBOTT, ENSURE PLUS, ready-to-drink"
94958,174823,"Beverages, ABBOTT, ENSURE, Nutritional Shake, Ready-to-Drink"
94959,174824,"Beverages, chocolate powder, no sugar added"
94962,174827,"Beverages, GEROLSTEINER BRUNNEN GmbH & Co. KG,Gerolsteiner naturally sparkling mineral water,"
94963,174828,"Beverages, yellow green colored citrus soft drink with caffeine"
94966,174831,"Beverages, Coconut water, ready-to-drink, unsweetened"
94967,174832,"Beverages, almond milk, unsweetened, shelf stable"
95028,174855,"Beverages, tea, black, ready-to-drink, peach, diet"
85137,169575,"Alcoholic beverage, beer, light, low carb"
85131,169572,"Alcoholic beverage, beer, light, BUD LIGHT"
92034,173162,"Beverages, MONSTER energy drink, low carb"
92038,173165,"Beverages, THE COCA-COLA COMPANY, NOS energy drink, Original, grape, loaded cherry, charged citrus, fortified with vitamins B6 and B12"
92039,173166,"Beverages, water, bottled, yumberry, pomegranate with anti-oxidants, zero calories"
92050,173175,"Beverages, Acai berry drink, fortified"
92054,173178,"Beverages, Orange juice, light, No pulp"
92055,173179,"Beverages, The COCA-COLA company, Hi-C Flashin' Fruit Punch"
92056,173180,"Beverages, Protein powder whey based"
92058,173182,"Beverages, rich chocolate, powder"
92063,173187,"Beverages, chocolate almond milk, unsweetened, shelf-stable, fortified with vitamin D2 and E"
92064,173188,"Beverages, The COCA-COLA company, Glaceau Vitamin Water, Revive Fruit Punch, fortified"
92065,173189,"Beverages, MINUTE MAID, Lemonada, Limeade"
92080,173197,"Beverages, Mixed vegetable and fruit juice drink, with added nutrients"
92116,173211,"Beverages, tea, black, ready to drink, decaffeinated, diet"
92117,173212,"Beverages, tea, black, ready to drink, decaffeinated"
92122,173214,"Beverages, Cranberry juice cocktail"
92127,173217,"Lemonade, frozen concentrate, white, prepared with water"
92128,173219,"Beverages, Malted drink mix, natural, with added nutrients, powder, prepared with whole milk"
89503,171879,"Beverages, chocolate-flavor beverage mix, powder, prepared with whole milk"
89502,171878,"Beverages, Lemonade fruit juice drink light, fortified with vitamin E and C"
89501,171877,"Beverages, coffee, ready to drink, vanilla, light, milk based, sweetened"
95606,175095,"Beverages, fruit punch juice drink, frozen concentrate, prepared with water"
95595,175090,"Beverages, tea, instant, lemon, sweetened, prepared with water"
81830,167723,"Alcoholic beverage, rice (sake)"
93026,173648,"Beverages, coffee substitute, cereal grain beverage, powder, prepared with whole milk"
92130,173221,"Beverages, Malted drink mix, natural, powder, prepared with whole milk"
92134,173223,"Beverages, orange and apricot juice drink, canned"
92136,173224,"Beverages, pineapple and grapefruit juice drink, canned"
84174,169070,"Alcoholic beverage, wine, cooking"
92138,173225,"Beverages, pineapple and orange juice drink, canned"
89497,171875,"Beverages, carbonated, limeade, high caffeine"
89494,171873,"Beverages, chocolate drink, milk and soy based, ready to drink, fortified"
